VIN (1-10),Model Year,Base MSRP,vehicle_id
KNDPYDAH0P,2023,0.0,185
1C4RJYB60P,2023,0.0,186
7PDSGABA6P,2023,0.0,187
7SAYGDEF3P,2023,0.0,128
5YJ3E1EB6R,2024,0.0,188
7SAYGDEE1P,2023,0.0,43
7SAYGDEE1P,2023,0.0,64
JTMABACA6P,2023,0.0,189
KM8KRDDF0R,2024,0.0,190
7SAYGDEE9P,2023,0.0,191
7SAYGDEE9P,2023,0.0,236
7SAYGDEE9P,2023,0.0,611
JTMABABA9P,2023,0.0,192
7SAYGDED4R,2024,0.0,193
5YJ3E1EAXP,2023,0.0,194
5YJ3E1EAXP,2023,0.0,580
5YJ3E1EA2P,2023,0.0,195
1V2DNPE81P,2023,0.0,196
5YJSA1E50P,2023,0.0,197
5YJSA1E50P,2023,0.0,463
7SAYGDEE6P,2023,0.0,142
7SAYGDEE6P,2023,0.0,182
7SAYGDEE6P,2023,0.0,367
1FT6W1EV1P,2023,0.0,198
JN1CF0BB3P,2023,0.0,199
1C4JJXN61P,2023,0.0,200
7SAYGDEF6P,2023,0.0,143
7SAYGDEF6P,2023,0.0,201
7SAYGDEE4P,2023,0.0,47
7SAYGDEE4P,2023,0.0,80
5YJ3E1EA1P,2023,0.0,113
WB523CF06R,2024,0.0,202
7SAYGAEE4R,2024,0.0,203
1N4AZ1BV5P,2023,0.0,204
1C4RJXN63R,2024,0.0,205
7SAYGDEE0R,2024,0.0,48
7SAYGDEE0R,2024,0.0,258
JTJCJMGA9R,2024,0.0,206
4JGGM1CB4R,2024,0.0,207
7SAYGDEE4P,2023,0.0,47
7SAYGDEE4P,2023,0.0,80
5YJ3E1EA0P,2023,0.0,58
5YJ3E1EA0P,2023,0.0,520
1C4RJYB65P,2023,0.0,167
YV4H60DE6P,2023,0.0,208
7SAYGDEE7P,2023,0.0,55
7SAYGDEE7P,2023,0.0,62
7SAYGDEE7P,2023,0.0,103
7SAYGDEE7P,2023,0.0,687
JTMEB3FV4R,2024,0.0,209
YV4H60CNXP,2023,0.0,210
7SAYGDEE7P,2023,0.0,55
7SAYGDEE7P,2023,0.0,62
7SAYGDEE7P,2023,0.0,103
7SAYGDEE7P,2023,0.0,687
YSMET3KA1P,2023,0.0,211
7SAYGDEE7P,2023,0.0,55
7SAYGDEE7P,2023,0.0,62
7SAYGDEE7P,2023,0.0,103
7SAYGDEE7P,2023,0.0,687
3FMTK2SU5P,2023,0.0,212
1FMCU0E12P,2023,0.0,213
7SAYGAEE3P,2023,0.0,124
7SAYGAEE3P,2023,0.0,722
5YJ3E1EA4P,2023,0.0,138
5YJ3E1EA4P,2023,0.0,427
1GYKPTRL5R,2024,0.0,214
YV4ED3GL8P,2023,0.0,215
7SAXCAE53P,2023,0.0,216
KNDC4DLC9R,2024,0.0,217
JTMABABA6P,2023,0.0,218
WMW13DJ00R,2024,0.0,219
7SAYGDEE4R,2024,0.0,220
7SAYGDEE4R,2024,0.0,506
7SAYGDEE4R,2024,0.0,543
KNDCR3LF7R,2024,0.0,221
KM8K23AG8P,2023,0.0,222
5YJSA1E62P,2023,0.0,223
5YJSA1E62P,2023,0.0,376
YV4H60LF0R,2024,0.0,224
1C4JJXN67P,2023,0.0,169
1C4JJXN67P,2023,0.0,225
YSMET3KA1P,2023,0.0,211
1C4RJYB61P,2023,0.0,67
1C4RJYB61P,2023,0.0,226
7SAYGDEE1P,2023,0.0,43
7SAYGDEE1P,2023,0.0,64
7SAYGDEE9R,2024,0.0,27
7SAYGDEE9R,2024,0.0,227
1FTVW1EL9P,2023,0.0,228
1G1FX6S00P,2023,0.0,229
KNDC3DLC9P,2023,0.0,230
WBY73AW04P,2023,0.0,231
7PDSGABA1P,2023,0.0,232
7PDSGABA1P,2023,0.0,428
KNDAEFS50R,2024,0.0,233
7SAYGAEE9P,2023,0.0,234
7SAYGAEE1R,2024,0.0,235
7SAYGAEE1R,2024,0.0,600
7SAYGDEE9P,2023,0.0,191
7SAYGDEE9P,2023,0.0,236
7SAYGDEE9P,2023,0.0,611
KNDCS3LFXP,2023,0.0,237
7PDSGABA7P,2023,0.0,238
3GPKHZRJ3R,2024,0.0,239
7SAYGDEE6R,2024,0.0,240
7SAYGDEE6R,2024,0.0,675
1V25MPE89R,2024,0.0,241
1C4RJYB61P,2023,0.0,67
1C4RJYB61P,2023,0.0,226
1V2WNPE89P,2023,0.0,242
JTMABABA4R,2024,0.0,243
5YJ3E1EB5P,2023,0.0,244
YV4H60DL2P,2023,0.0,245
7SAYGAEE2P,2023,0.0,246
7SAYGAEE2P,2023,0.0,331
7SAYGDEF5P,2023,0.0,247
KM8KRDDF8R,2024,0.0,248
JM3KKEHA8R,2024,0.0,249
7SAYGDEE5P,2023,0.0,16
7SAYGDEE5P,2023,0.0,40
7SAYGDEE5P,2023,0.0,460
1G1FW6S03P,2023,0.0,250
1C4JJXP60P,2023,0.0,163
KNDAEFS57R,2024,0.0,251
1C4RJXN65R,2024,0.0,72
1C4RJXN65R,2024,0.0,252
1C4RJXN65R,2024,0.0,465
7SAYGDEF3P,2023,0.0,128
1G1FX6S05P,2023,0.0,253
KM8KNDAF4P,2023,0.0,254
5YJ3E1EB3P,2023,0.0,255
7SAYGDEF5P,2023,0.0,247
1N4CZ1CV4P,2023,0.0,256
KNDAFFS53R,2024,0.0,257
7SAYGDEE0R,2024,0.0,48
7SAYGDEE0R,2024,0.0,258
7SAYGAEE1P,2023,0.0,35
7SAYGAEE1P,2023,0.0,181
7SAYGDEE1P,2023,0.0,43
7SAYGDEE1P,2023,0.0,64
5YJ3E1EC9P,2023,0.0,259
KNDPYDAH7P,2023,0.0,260
WMW13DJ07P,2023,0.0,261
